date,nav,fund_name
2024-09-10,5475.9756,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-11,5477.0398,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-12,5477.9222,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-13,5479.344,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-16,5482.4736,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-17,5483.7926,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-19,5486.1019,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-20,5487.3347,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-23,5490.5892,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-24,5491.7099,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-25,5492.655,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-26,5493.8571,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-27,5495.2936,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-09-30,5500.7013,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-01,5501.9906,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-03,5504.5299,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-04,5506.0251,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-07,5509.299,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-08,5510.3208,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-09,5511.8431,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-10,5512.9468,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-11,5514.3907,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-14,5517.3612,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-15,5518.1759,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-16,5519.2375,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2024-10-17,5520.2522,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
